team,played,win_rate,avg_gf,avg_ga
Gabon,393,0.3486005089058524,1.1552162849872774,1.173027989821883
Galicia,12,0.4166666666666667,1.75,1.9166666666666667
Gambia,257,0.26848249027237353,1.0,1.3813229571984436
Georgia,295,0.3254237288135593,1.2440677966101694,1.3966101694915254
German DR,298,0.4697986577181208,1.6979865771812082,1.2114093959731544
Germany,1019,0.5789990186457311,2.2482826300294407,1.1638861629048087
Ghana,661,0.4659606656580938,1.5748865355521937,1.037821482602118
Gibraltar,149,0.2483221476510067,1.1208053691275168,2.4832214765100673
Gotland,30,0.36666666666666664,2.7,1.9
Gozo,11,0.36363636363636365,2.5454545454545454,2.090909090909091
Greece,621,0.38003220611916266,1.2463768115942029,1.3864734299516908
Greenland,77,0.3246753246753247,1.8831168831168832,2.064935064935065
Grenada,251,0.32270916334661354,1.6135458167330676,1.8645418326693226
Guadeloupe,268,0.4291044776119403,1.708955223880597,1.4179104477611941
Guam,119,0.20168067226890757,1.1092436974789917,4.9411764705882355
Guatemala,537,0.3612662942271881,1.404096834264432,1.3575418994413408
Guernsey,240,0.6041666666666666,2.566666666666667,1.3041666666666667
Guinea,530,0.37169811320754714,1.3547169811320754,1.230188679245283
Guinea-Bissau,182,0.2802197802197802,1.0164835164835164,1.4725274725274726
Guyana,307,0.31921824104234525,1.3485342019543973,1.778501628664495
Găgăuzia,3,0.0,0.6666666666666666,3.0
Haiti,495,0.4262626262626263,1.6464646464646464,1.3474747474747475
Hitra,19,0.21052631578947367,1.263157894736842,4.315789473684211
Hmong,3,0.3333333333333333,2.0,3.3333333333333335
Honduras,605,0.39834710743801655,1.4776859504132231,1.2942148760330578
Hong Kong,437,0.3180778032036613,1.4393592677345537,1.6498855835240274
Hungary,994,0.4688128772635815,2.004024144869215,1.476861167002012
Iceland,509,0.30648330058939094,1.2043222003929273,1.6738703339882122
India,525,0.3619047619047619,1.3828571428571428,1.6152380952380951
Indonesia,718,0.38579387186629527,1.6657381615598885,1.6225626740947074
Iran,602,0.5714285714285714,1.8903654485049834,0.792358803986711
Iraq,639,0.4616588419405321,1.5477308294209702,0.9327073552425665
Iraqi Kurdistan,27,0.48148148148148145,2.259259259259259,1.0
Isle of Man,53,0.5849056603773585,3.0754716981132075,1.509433962264151
Isle of Wight,48,0.5416666666666666,2.3541666666666665,1.25
Israel,488,0.36065573770491804,1.4979508196721312,1.4754098360655739
Italy,881,0.5312145289443814,1.746878547105562,0.9795686719636776
Ivory Coast,620,0.5080645161290323,1.632258064516129,1.0080645161290323
Jamaica,646,0.38544891640866874,1.3312693498452013,1.3312693498452013
Japan,779,0.49165596919127086,1.8279845956354301,1.159178433889602
Jersey,232,0.6551724137931034,2.7543103448275863,1.206896551724138
Jordan,467,0.37044967880085655,1.2633832976445396,1.100642398286938
Kabylia,6,0.16666666666666666,1.3333333333333333,2.5
Kazakhstan,257,0.26459143968871596,1.1556420233463034,1.6536964980544746
Kenya,696,0.3793103448275862,1.3850574712643677,1.3520114942528736
Kernow,12,0.5833333333333334,2.6666666666666665,1.5833333333333333
Kiribati,11,0.0,0.6363636363636364,11.454545454545455
Kosovo,92,0.3804347826086957,1.4021739130434783,1.3478260869565217
Kurdistan,5,0.8,2.4,0.4
Kuwait,673,0.42050520059435365,1.563150074294205,1.1084695393759287
Kyrgyzstan,185,0.3081081081081081,1.162162162162162,1.6864864864864866
Kárpátalja,11,0.45454545454545453,2.272727272727273,1.1818181818181819
Laos,220,0.18636363636363637,1.018181818181818,3.1363636363636362
Latvia,451,0.2838137472283814,1.188470066518847,1.6629711751662972
Lebanon,326,0.27607361963190186,1.1441717791411044,1.4263803680981595
Lesotho,289,0.18339100346020762,0.7854671280276817,1.57439446366782
Liberia,293,0.2627986348122867,0.8839590443686007,1.47098976109215
Libya,376,0.3723404255319149,1.3058510638297873,1.226063829787234
Liechtenstein,247,0.0728744939271255,0.41295546558704455,2.777327935222672
Lithuania,421,0.26128266033254155,1.007125890736342,1.817102137767221
Luhansk PR,6,0.3333333333333333,1.5,2.0
Luxembourg,457,0.10722100656455143,0.6433260393873085,2.6017505470459517
Macau,146,0.14383561643835616,0.773972602739726,3.0684931506849313
Madagascar,311,0.3633440514469453,1.3408360128617363,1.504823151125402
Madrid,1,0.0,1.0,2.0
Malawi,635,0.3401574803149606,1.1716535433070867,1.2992125984251968
Malaysia,828,0.38768115942028986,1.6268115942028984,1.4565217391304348
Maldives,224,0.2767857142857143,1.2142857142857142,2.2767857142857144
Mali,556,0.41007194244604317,1.314748201438849,1.106115107913669
Malta,448,0.13839285714285715,0.640625,2.2410714285714284
Manchukuo,3,0.0,0.0,5.333333333333333
Mapuche,2,0.5,1.5,1.0
Martinique,327,0.4434250764525994,1.7859327217125383,1.3027522935779816
Matabeleland,8,0.375,0.875,1.75
Maule Sur,2,1.0,1.0,0.0
Mauritania,261,0.19157088122605365,0.7318007662835249,1.6130268199233717
Mauritius,321,0.2834890965732087,1.280373831775701,1.6074766355140186
Mayotte,38,0.2894736842105263,1.3421052631578947,1.4736842105263157
Menorca,25,0.44,2.24,1.28
Mexico,981,0.5117227319062182,1.7686034658511722,1.056065239551478
Micronesia,7,0.14285714285714285,1.1428571428571428,8.428571428571429
Moldova,287,0.20209059233449478,0.8153310104529616,1.6933797909407666
Monaco,24,0.3333333333333333,1.7083333333333333,3.6666666666666665
Mongolia,101,0.24752475247524752,1.1584158415841583,3.0693069306930694
Montenegro,158,0.34177215189873417,1.1772151898734178,1.3227848101265822
Montserrat,64,0.25,1.109375,3.0
